HAMRA Simulation 1.11.1
Simulation_Id;State;Init_Time;SetState_Time;Update_Time
1;One Rule;0.0;0.0;0.01
2;Idle;0.0;0.0;0.05
3;Preparedness;0.0;0.0;0.11
4;Warning;0.0;0.0;0.18
5;Crisis;0.0;0.0;0.29
6;One Rule;0.0;0.0;0.0
7;Idle;0.0;0.0;0.03
8;Preparedness;0.0;0.0;0.13
9;Warning;0.0;0.0;0.16
10;Crisis;0.0;0.0;0.23
11;One Rule;0.0;0.0;0.01
12;Idle;0.0;0.0;0.03
13;Preparedness;0.0;0.0;0.11
14;Warning;0.0;0.0;0.15
15;Crisis;0.0;0.0;0.27
16;One Rule;0.0;0.0;0.01
17;Idle;0.0;0.0;0.04
18;Preparedness;0.0;0.0;0.11
19;Warning;0.0;0.0;0.15
20;Crisis;0.0;0.0;0.23
21;One Rule;0.0;0.0;0.03
22;Idle;0.0;0.0;0.03
23;Preparedness;0.0;0.0;0.11
24;Warning;0.0;0.0;0.16
25;Crisis;0.0;0.0;0.24
26;One Rule;0.0;0.0;0.01
27;Idle;0.0;0.0;0.03
28;Preparedness;0.0;0.0;0.11
29;Warning;0.0;0.0;0.17
30;Crisis;0.0;0.0;0.27
31;One Rule;0.0;0.0;0.02
32;Idle;0.0;0.0;0.03
33;Preparedness;0.0;0.0;0.1
34;Warning;0.0;0.0;0.16
35;Crisis;0.0;0.0;0.31
36;One Rule;0.0;0.0;0.02
37;Idle;0.0;0.0;0.03
38;Preparedness;0.0;0.0;0.11
39;Warning;0.0;0.0;0.16
40;Crisis;0.0;0.0;0.3
41;One Rule;0.0;0.0;0.02
42;Idle;0.0;0.0;0.04
43;Preparedness;0.0;0.0;0.1
44;Warning;0.0;0.0;0.16
45;Crisis;0.0;0.0;0.29
46;One Rule;0.0;0.0;0.01
47;Idle;0.0;0.0;0.04
48;Preparedness;0.0;0.0;0.1
49;Warning;0.0;0.0;0.15
50;Crisis;0.0;0.0;0.26
51;One Rule;0.0;0.0;0.01
52;Idle;0.0;0.0;0.04
53;Preparedness;0.0;0.0;0.11
54;Warning;0.0;0.0;0.18
55;Crisis;0.0;0.0;0.27
56;One Rule;0.0;0.0;0.01
57;Idle;0.0;0.0;0.04
58;Preparedness;0.0;0.0;0.1
59;Warning;0.0;0.0;0.16
60;Crisis;0.0;0.0;0.28
61;One Rule;0.0;0.0;0.02
62;Idle;0.0;0.0;0.03
63;Preparedness;0.0;0.0;0.11
64;Warning;0.0;0.0;0.15
65;Crisis;0.0;0.0;0.28
66;One Rule;0.0;0.0;0.01
67;Idle;0.0;0.0;0.05
68;Preparedness;0.0;0.0;0.13
69;Warning;0.0;0.0;0.17
70;Crisis;0.0;0.0;0.26
71;One Rule;0.0;0.0;0.02
72;Idle;0.0;0.0;0.04
73;Preparedness;0.0;0.0;0.12
74;Warning;0.0;0.0;0.15
75;Crisis;0.0;0.0;0.31
